,rec,lig,pocket_change,backbone_change
97,3CS9,2GQG,3.070639946047219,2.3012954115950808
98,3CS9,2E2B,1.0311298241665372,0.2677370076458571
99,3OXZ,3DK6,2.2604787133920614,2.032006053140591
100,3OXZ,2XYN,3.2096893104142894,1.9564565332934611
101,3DK3,3QRI,4.668780866726624,4.106063402660347
102,3DK3,3KF4,2.55291290718824,1.2800199998437525
103,3KF4,3IK3,4.909347750817979,4.503246972365345
104,3KF4,2G2H,2.4315972947159086,1.4698077133712812
105,3KF4,2GQG,1.6880720749888445,0.9453405282149465
106,3BKL,4C2P,0.6956034842617403,0.39618650910903325
107,3BKL,1UZF,0.2950458211623509,0.24105263947942973
108,3BKL,2YDM,0.589062479412127,0.18876911235098184
109,3BKL,3L3N,0.21547193723941133,0.19415120990530144
110,3BKL,3BKK,0.15735431546994502,0.07398648525237637
111,3BKL,4CA5,0.5493830322543934,0.2328683041094758
112,3BKL,2OC2,0.3119959716108041,0.27671894586385065
113,4C2P,1UZF,0.6594155222512705,0.23635566420122123
114,4C2P,2YDM,0.3721580100113183,0.2874641281968936
115,4C2P,3L3N,0.5371172162573086,0.2721976092134893
116,4C2P,3BKL,0.6326044304181052,0.3610013850388957
117,4C2P,3BKK,0.6535033108711752,0.3801583402167625
118,4C2P,4CA5,0.491152359501512,0.37636182354513853
119,4C2P,2OC2,0.6024075082285651,0.389259039715201
120,2YDM,4C2P,0.38458433549887505,0.3176873463013608
121,2YDM,1UZF,0.5948475683985178,0.21851172737406926
122,2YDM,3L3N,0.48922797174051025,0.1589233003200454
123,2YDM,3BKL,0.6481972845492101,0.19257223752832742
124,2YDM,3BKK,0.6787837702683094,0.21322649568366928
125,2YDM,4CA5,0.3557188164892244,0.25285737086349636
126,2YDM,2OC2,0.6362692217769498,0.29508832177343036
127,1UZF,4C2P,0.6451233970089918,0.2536651335915134
128,1UZF,2YDM,0.28046756328326816,0.2569287352555175
129,1UZF,3L3N,0.25478294116254746,0.22200103949860622
130,1UZF,3BKL,0.2880779182036032,0.2232942177762497
131,1UZF,3BKK,0.2797175737286301,0.24701401392820407
132,1UZF,4CA5,0.6904747279951668,0.33633287082888413
133,1UZF,2OC2,0.566382126673003,0.3644216117508832
134,4CA5,4C2P,0.4645096445463151,0.38161760965657865
135,4CA5,1UZF,0.6005696380186816,0.28033313515648844
136,4CA5,2YDM,0.3060057568997912,0.23768419757690554
137,4CA5,3L3N,0.5059331691848403,0.1902833413622946
138,4CA5,3BKL,0.6219608419256704,0.13798405705008102
139,4CA5,3BKK,0.6470040735470224,0.13226168699269492
140,4CA5,2OC2,0.640862228433954,0.23859576169747876
141,2OC2,4C2P,0.6936071307677363,0.33433946072816634
142,2OC2,1UZF,0.3596493319544864,0.2580726641858848
143,2OC2,2YDM,0.6532600762887067,0.34935207885455705
144,2OC2,3L3N,0.3420721208719913,0.3001146209605349
145,2OC2,3BKL,0.3194465839541878,0.27785903414707236
146,2OC2,3BKK,0.2820778693370817,0.21580368571743752
147,2OC2,4CA5,0.5518106172565663,0.25452439306806446
148,3L3N,4C2P,0.6395334912416657,0.300087903788209
149,3L3N,1UZF,0.2543029905231379,0.215884742912096
150,3L3N,2YDM,0.5643441140561029,0.16423560312347985
151,3L3N,3BKL,0.22119198531184892,0.16705070338074002
152,3L3N,3BKK,0.21805830350806046,0.20753350053943911
153,3L3N,4CA5,0.4988250945972949,0.1973749956019971
154,3L3N,2OC2,0.33279087110209093,0.30214524652888397
155,3BKK,4C2P,0.6705799806262239,0.4070058967631796
156,3BKK,1UZF,0.3069039832668434,0.2493279856824026
157,3BKK,2YDM,0.5849527410845476,0.21937132396413392
158,3BKK,3L3N,0.22584841893033722,0.21324092549905102
159,3BKK,3BKL,0.16181470884935045,0.0813084661438573
160,3BKK,4CA5,0.5055259516630954,0.2152797921052701
161,3BKK,2OC2,0.2923775619121229,0.2504103690767948
162,1ACJ,1GPN,0.6638338688296985,0.322270590239528
163,1ACJ,1ODC,1.5889281021773423,0.3119189455153851
164,1ACJ,5E4J,1.5060964392677514,0.34443359301903476
165,1U65,3I6M,0.36363908997122685,0.29438394842604676
166,1U65,5E4J,0.5830790969785605,0.48716937506374713
167,1U65,5BWC,0.37666658772694406,0.3297546707131578
168,4TVK,4W63,3.5615349439339696,1.979606854908317
169,2J3Q,2CKM,1.131915855588317,0.2587805317955032
170,2J3Q,5BWB,0.9688099829855855,0.3268411311325418
171,2J3Q,1E66,0.9954831851567474,0.2999930554751771
172,2J3Q,5BWC,0.334949764632827,0.22095474649800967
173,1ODC,1VOT,0.6755536433178354,0.38266695702660125
174,1ODC,3M3D,1.520935238594991,0.27500090908941
175,1ODC,1U65,1.535190410796849,0.41416542588680755
176,1W4L,1VOT,0.958794271231037,0.34688470707138225
177,1W4L,1GPN,0.9457083324154443,0.3014979270243801
178,1W4L,2CMF,1.9504544948200242,0.7054724657986325
179,1W4L,3I6Z,0.12990381056766523,0.06943785267860308
180,1EVE,2CKM,1.203402192787946,0.2284749837111673
181,1EVE,2ACK,0.9305048199767699,0.16747059443376971
182,5BWC,1VOT,0.8857937683230789,0.3386603509909803
183,5BWC,1H23,0.674226889080511,0.26940768363207585
184,1AX9,2J3Q,1.0306554629619604,0.23088265417739942
185,1AX9,4X3C,1.006289579088014,0.361432012970627
186,2CMF,3I6M,1.3150140551021798,0.6125284573888063
187,2CMF,1W76,1.6173474756968145,0.7415225649201221
188,2CMF,5DLP,1.6141673764355837,0.7937075972926071
189,2CMF,4W63,3.3924926354009965,1.8753683104926346
190,2CMF,1U65,2.4439527861957253,0.8264063434197763
191,1E66,1JJB,1.3828268600949274,0.12364195620149829
192,1E66,2ACK,0.3715176083758791,0.26182093117243427
193,1E66,2CMF,1.9698031087481918,0.8071808967016034
194,1W76,3I6M,0.2859869958542743,0.19685443014234538
195,1W76,4TVK,1.1653269134527837,0.29152336956065766
196,1W76,1ODC,1.2649788041702523,0.24284511524838248
197,1W76,1ZGB,0.849673804743965,0.22396567817413446
198,1VOT,1JJB,0.9762439500452739,0.20485177568183313
199,1VOT,2W6C,1.1104240912091483,0.2615043020678622
200,1VOT,5BWC,0.7331938437412033,0.3418766224824386
201,1GPN,2CKM,1.0814292881474765,0.29144353369620757
202,1GPN,4TVK,0.7961425678684022,0.2312452702219012
203,3I6M,1E66,0.9559221242822588,0.2985457610293111
204,1AMN,1GQS,0.7926332288542236,0.34293085517137656
205,1AMN,1ODC,1.1558250480356733,0.40630961101111174
206,1H23,2CKM,1.2087477218368903,0.31191473193807134
207,1H23,3I6Z,0.5242970889676959,0.305140802074893
208,3M3D,1EVE,0.7173452030583861,0.15816889706892437
209,1ZGB,2J3Q,1.1111801228001346,0.3429478823378271
210,1ZGB,4X3C,0.7207146635546045,0.16173331959329568
211,1ZGB,1ZGC,0.5913004396045576,0.20101208208179025
212,1ZGB,2W6C,1.2996288481167018,0.3190707862946212
213,1ZGB,5DLP,1.3255327985380068,0.3293306342669411
214,1ZGB,1H23,0.9162483413291981,0.3140771313617801
215,1E3Q,1W4L,0.6303038501773465,0.39587478595364795
216,1JJB,1ACJ,1.0991279301776256,0.2188501770618447
217,1JJB,2CMF,2.2046644917711617,0.8279493409086778
218,1JJB,1ZGB,0.8851451738124111,0.21719374991007523
219,5BWB,4TVK,0.9884070315411567,0.24735826469134256
220,5BWB,4W63,3.4918865908898535,1.8630140535262643
221,5BWB,3M3D,1.5117893371763156,0.16419957369006782
222,2W6C,2J3Q,0.3268648038562726,0.20621711859105524
223,2W6C,1ZGB,1.0332498459646864,0.2342800140857097
224,2W6C,1E3Q,0.33963774110178524,0.32401565217924666
225,2CEK,1W76,0.7628550402927149,0.1691531850128764
226,2CEK,5BWC,1.9294287802120214,0.19919014605575777
227,4W63,1W76,0.429117784729008,0.27281495560177893
228,1ACL,3I6M,0.6620076929817434,0.31269601852278184
229,1ACL,2W6C,0.614719421535643,0.31596564008493944
230,1ACL,1ODC,1.4159322017667375,0.40043632452613426
231,1ACL,3I6Z,0.7440458916551378,0.3636050054660961
232,1ACL,4W63,3.8791719505248965,2.0332927974101516
233,1OCE,1GQS,0.39660581162070857,0.20922555611906776
234,1OCE,1JJB,0.6030086883792539,0.06262188115986092
235,1ZGC,1ACJ,0.8741058158328013,0.3886894647401683
236,5E4J,1ACJ,1.1137473507444686,0.24882189078402
237,5E4J,1H22,0.8931009535618086,0.24360623965736217
238,5E4J,1U65,0.931133092018293,0.5298249186707312
239,1GQS,1OCE,0.736671139940376,0.27510312116137037
240,1GQS,4TVK,1.0048344869449133,0.24490056291132734
241,1GQS,1E3Q,0.4923227759166488,0.3144160371934679
242,1GQS,5BWC,0.6685558844167295,0.2344616934901851
243,1GQS,1H23,0.7445955125252424,0.34273945400746275
244,1W6R,1ODC,0.9897508819563299,0.24894396959958803
245,1UT6,2J3Q,1.1299484817586027,0.2808567250396546
246,1UT6,3I6M,0.8432736480790529,0.19645864704817737
247,1UT6,1ZGC,0.623974024566194,0.18958413134316424
248,1UT6,3I6Z,0.7327037030993038,0.17983582256303612
249,1UT6,1U65,1.147038324819468,0.338907435740203
250,1UT6,1H23,0.9468439226150761,0.33323565235430586
251,1GPK,1W4L,0.7634376626908151,0.35847200981134086
252,1GPK,1JJB,1.2504935895042806,0.19948182874637949
253,1GPK,2CKM,0.9810390073695249,0.2877841204792232
254,1GPK,1E66,0.7309228729174136,0.21886003355047318
255,1GPK,1ZGB,0.7842869691637112,0.2763406283143026
256,2Z7G,1UML,0.5324583127707834,0.43120015239859477
257,2Z7G,1NDY,0.274990279548485,0.2530698190881972
258,2Z7G,1QXL,0.956008920228026,0.6031501826718996
259,2Z7G,1NDV,0.8980632000943123,0.701042366765376
260,2Z7G,1WXZ,1.0197849713322422,0.9154546229424315
261,2Z7G,1NDW,1.042885867836617,0.2643482551483929
262,1KRM,1UML,2.5498489367019377,2.3851349744100117
263,1KRM,1NDY,1.7458830144084683,1.4540405771504463
264,1KRM,3IAR,0.6796044437759362,0.4096571737440949
265,1KRM,1WXY,2.676848474900243,2.3781453504132815
266,1KRM,1V79,1.5695249858854374,1.3152383468751632
267,1KRM,2E1W,1.7138816341317018,1.336702173260747
268,1KRM,1NDV,2.679273006572865,2.428149346724786
269,1KRM,1WXZ,1.8047489688895697,1.4817973883092115
270,1KRM,1NDW,1.6299984619965477,1.4121151688159155
271,1KRM,1NDZ,2.544459922703758,2.419233733466624
272,3IAR,1O5R,2.222688241532676,2.0605506918894654
273,3IAR,2Z7G,1.9920725831331014,1.255699108066897
274,3IAR,1V7A,1.4604150023766072,1.1983251948979763
275,3IAR,1WXY,2.5978035652520695,2.2719849862571224
276,3IAR,1QXL,2.444330945561294,2.322661851609717
277,3IAR,1NDV,2.245881555706834,2.021458498594137
278,3IAR,1WXZ,1.7286490215079637,1.338881520999049
279,3IAR,1NDW,1.630881176148123,1.359210984358205
280,3IAR,1NDZ,2.1907507699416655,2.0851938039424542
281,1NDZ,3IAR,0.6351365583566999,0.31901371443873683
282,1NDZ,1V7A,0.6119935268637051,0.415946150360837
283,1NDZ,1WXY,0.5575963045868304,0.489369185789218
284,1NDZ,2E1W,0.6696263837597504,0.4698905309868577
285,1NDZ,1NDV,0.7154729053296635,0.4860689251536237
286,1NDZ,1WXZ,1.0252075172804636,0.8135718161293451
287,1NDZ,1NDW,0.38343125629229347,0.3022667144537538
288,1UML,1NDY,0.6410953907181048,0.2566232647286681
289,1UML,1V7A,0.36147825702665776,0.27787879552063743
290,1UML,1V79,0.28325314138639895,0.21671352057497592
291,1UML,1QXL,0.7023289932117869,0.5388423805818449
292,1UML,2E1W,0.6533863711465062,0.2864880014939548
293,1UML,1NDW,0.3865240357192274,0.32394598315151246
294,1UML,1NDZ,0.7876599520097487,0.3492357370029574
295,1WXY,1KRM,0.6523801837192711,0.3478598855861366
296,1WXY,2Z7G,0.9686690823210865,0.41326608515925456
297,1WXY,1V7A,0.7074575900774844,0.41008511311677803
298,1WXY,1QXL,0.88905917597807,0.6383496477067044
299,1WXY,1NDV,0.6363780645935955,0.4877502776353223
300,1WXY,1WXZ,0.9900919248271058,0.6636981618175543
301,1WXY,1NDZ,0.7184014969662673,0.5570710008607526
302,1NDY,1UML,0.7270801775701109,0.5098036386688503
303,1NDY,3IAR,0.8924173631210903,0.3911916268133674
304,1NDY,1QXL,0.8205642562469664,0.4924566534788185
305,1NDY,2E1W,0.5970320586616494,0.40167088517840166
306,1NDY,1NDV,0.8751090418712604,0.7752793631389203
307,1NDY,1WXZ,1.0303462080345689,0.8700123341300758
308,1NDY,1NDW,0.35769761657810983,0.30824232891238956
309,1O5R,1KRM,0.7029304533324919,0.3958521048180604
310,1O5R,2Z7G,1.09682682691266,0.41793689715075544
311,1O5R,3IAR,0.7693555634755929,0.5612741881520243
312,1O5R,1V79,0.3107331313963294,0.2857310798635688
313,1O5R,1QXL,0.8762955567488503,0.6380107104639128
314,1O5R,1WXZ,0.8777731028004904,0.752751397651754
315,1O5R,1NDW,0.3670263216102042,0.36995427645408835
316,1V79,1UML,0.7497526552921614,0.49961109875582105
317,1V79,1O5R,0.7589288416358062,0.7183900982985035
318,1V79,3IAR,0.9158480145276757,0.44467825447170206
319,1V79,1WXY,0.6820851553075392,0.5195151585853887
320,1V79,2E1W,0.678449471510781,0.4260712381750258
321,1V79,1NDW,0.3900074745292443,0.38189287328603966
322,1NDV,1UML,0.7746453178203894,0.3942091540576627
323,1NDV,3IAR,0.6544885778281104,0.36272045020924776
324,1NDV,1NDW,0.4308452363054033,0.27864583255451714
325,1NDV,1NDZ,0.5411408267412442,0.36962157825418035
326,1QXL,1UML,0.29842693017397287,0.20555007500201392
327,1QXL,1O5R,0.4178391025562354,0.345087359539996
328,1QXL,2Z7G,1.1046521278345558,0.3109975884150878
329,1QXL,3IAR,0.6021436209896337,0.2717018126549766
330,1QXL,1WXY,0.831637790527912,0.5150248537692179
331,1QXL,2E1W,0.50385436608431,0.26452410098136614
332,1QXL,1WXZ,1.028204020986074,0.8853328671828963
333,1QXL,1NDW,0.33632419220768367,0.2808039054809139
334,2E1W,1UML,0.5837042718047185,0.24354183418870862
335,2E1W,1NDY,0.6383844276134519,0.40023618027359925
336,2E1W,1QXL,0.652592146316489,0.4049306818985896
337,2E1W,1NDW,0.6137612565159192,0.2897073235755937
338,1V7A,2Z7G,0.9445172534714563,0.38634440593853503
339,1V7A,1WXY,0.830787167133178,0.4793556091254202
340,1V7A,2E1W,0.6105927522423669,0.3322045052875299
341,1V7A,1NDV,0.9510841116851863,0.7138098875439846
342,1V7A,1WXZ,0.8066840839310057,0.6301406589008514
343,1V7A,1NDZ,0.7646287646480951,0.46416731897021773
344,1WXZ,1O5R,0.7140929211244151,0.6956613959231726
345,1WXZ,1NDY,0.4405874865827822,0.45102549817055737
346,1WXZ,1V7A,0.6211497605247869,0.6577597501283351
347,1WXZ,1QXL,1.046952882429849,0.9756690012499118
348,1WXZ,1NDW,0.5585834535468005,0.36910432129683934
349,1WXZ,1NDZ,1.1344471858938248,0.9580273767202352
350,1NDW,1KRM,0.7123227681517686,0.43551894333082697
351,1NDW,1O5R,0.521931272996113,0.5313555777443195
352,1NDW,1NDY,0.37187701073219276,0.3257941067606971
353,1NDW,1WXY,0.49079140634841495,0.317822015180405
354,1NDW,1QXL,0.6800250546854874,0.3771917284352889
355,1NDW,1NDV,0.6082623118359379,0.4608863441481233
356,3LGP,3G42,0.4720303318075452,0.4102725923090645
357,3LGP,2FV5,0.6633417368464914,0.5508976097884142
358,3LGP,2A8H,0.6098552117595982,0.46762796012525776
359,3G42,3EWJ,0.8460175187933542,0.46755231436350164
360,3G42,2FV5,1.155665101180682,0.9040098174245677
361,3G42,3LEA,0.6068586098428741,0.21983051322656566
362,3G42,1ZXC,0.3541181092433958,0.2792052031294296
363,3G42,3L0V,0.27130857188166874,0.1717020675472483
364,3G42,3LGP,1.4473136657058057,1.2377269152226862
365,3G42,3B92,0.431474134301731,0.31246508376365567
366,2DDF,3G42,0.3247332519646038,0.2386198743701873
367,2DDF,2FV5,1.2439521126195194,0.9844304009353403
368,2DDF,3LEA,0.3805612415707345,0.33351499216676955
369,2DDF,2OI0,1.5443021675227244,1.3278942812672336
370,2DDF,3LE9,0.17762288772537888,0.11680753400358988
371,2DDF,2A8H,0.5900772127622593,0.4829446138016237
372,2DDF,3LGP,1.417106373454093,1.247804500484179
373,2FV5,1ZXC,0.43452482313189894,0.33959452946778235
374,2FV5,3LE9,0.26273035606872663,0.2150550317166902
375,2FV5,2A8H,0.6137009075450096,0.568014084332422
376,2FV5,3LGP,0.7524393083155695,0.5673949241930173
377,2FV5,3B92,0.31979725234700723,0.29254572292207637
378,2OI0,3G42,0.45538489215168365,0.3793963626604773
379,2OI0,3LEA,1.045564088775176,0.6179521899717737
380,2OI0,1ZXC,0.699751931925712,0.7264325157920731
381,2OI0,3LE9,0.5429466774873891,0.4934900651932571
382,2OI0,3L0V,0.5709565823413539,0.5221782369183077
383,3L0T,3G42,0.3715767870063673,0.21170781752216944
384,3L0T,1ZXC,0.4797972602661503,0.3236532781302318
385,3L0T,3LE9,0.11255744347750574,0.07767739553935718
386,3L0T,3B92,0.40195967685600253,0.2913667301333008
387,1ZXC,3G42,0.3580559250376196,0.25526260987461635
388,1ZXC,3LEA,0.42536682621251204,0.27539063164893746
389,1ZXC,2A8H,0.4098575218722891,0.3197875715363105
390,1ZXC,3LGP,1.3842050975965916,1.1611575505257064
391,3L0V,3EWJ,0.6205034204070455,0.45953509115191615
392,3L0V,3G42,0.3639113822315083,0.27390824608384284
393,3L0V,2FV5,1.3593286101124593,1.1411106285836914
394,3L0V,3LEA,0.22264181447118256,0.20354463065054515
395,3L0V,2OI0,1.6776748882811685,1.510942862365528
396,3L0V,3LE9,0.19256674931352136,0.1695405556201822
397,3L0V,2A8H,0.5814420810510892,0.43014019032558815
398,3L0V,3LGP,1.5873466379643117,1.450450142329827
399,3L0V,3B92,0.5518697698344627,0.5009444413638436
400,2I47,3G42,0.3403691246656209,0.26153661311563936
401,2I47,2FV5,1.1752508541479296,0.9455951168444133
402,2I47,3LEA,0.8996366041951849,0.3536202058706503
403,2I47,2OI0,1.3577929590008175,1.2350679039116546
404,2I47,3LE9,0.34947991754313684,0.189000961998514
405,2I47,3L0V,0.26245057798060395,0.2109888622652869
406,2I47,3LGP,1.3916215929248645,1.202747628200886
407,3EDZ,3LE9,0.19529326364093944,0.12467196958418551
408,3EDZ,3LGP,1.5045411756156115,1.3069270938240694
409,2FV9,3LEA,0.44705982244939546,0.37158534237328034
410,2FV9,3L0V,0.2831365696500027,0.20039436119811427
411,2FV9,2A8H,0.5076356443044766,0.41663423207093014
412,2FV9,3LGP,1.270046074856367,1.1844220531550393
413,3KMC,1ZXC,0.4863522643105509,0.46577151050703014
414,3KMC,3LE9,0.33521560226218594,0.1773153328754384
415,3KMC,3LGP,1.7673768431379815,1.6713747680830342
416,3LEA,3EWJ,0.7910120655919783,0.6439431087236882
417,3LEA,3G42,0.3804683854247187,0.2938412836890017
418,3LEA,2FV5,1.4014374864052577,1.211494834216529
419,3LEA,1ZXC,0.44362091570837,0.40469803557714523
420,3LEA,2A8H,0.4878629619707989,0.3768706674709513
421,3LEA,3LGP,1.6719727295953841,1.5142853374887228
422,3KME,2FV5,1.2131303714958313,1.0260501287299109
423,3KME,3LEA,0.34934929708323326,0.3214753748993349
424,3KME,3LE9,0.24245720058939724,0.1589682358208722
425,3KME,3L0V,0.224485581876851,0.17991247872229557
426,3KME,2A8H,0.5814239821841056,0.5805289907411252
427,3KME,3LGP,1.6105636977556341,1.4626879103475636
428,3KME,3B92,0.47345087742376535,0.3885759256567504
429,2A8H,3G42,0.4025436758401551,0.2312821749388486
430,2A8H,2FV5,1.1910768679070032,0.9565806944529038
431,2A8H,3LEA,0.4695890212059998,0.2898708333033877
432,2A8H,2OI0,1.4800760513051545,1.3367827879735072
433,2A8H,3B92,0.5344116046250252,0.33380050595793953
434,3LE9,3EWJ,0.5782709162940669,0.32488613389924775
435,3LE9,3G42,0.3635257040430569,0.26696085855420804
436,3LE9,2FV5,1.2815392924070623,1.0484473341565614
437,3LE9,3L0V,0.16074111691370938,0.09945629972784868
438,3LE9,2A8H,0.5633934734112147,0.41892564054697434
439,3LE9,3B92,0.5552716699517278,0.4551158408267371
440,3EWJ,2FV5,0.3438460466161925,0.23011922375772348
441,3EWJ,3LEA,0.36000780507970925,0.3097927622710974
442,3EWJ,2OI0,0.5827312130533823,0.496636112834567
443,3EWJ,3LGP,0.9419266610424661,0.6883578803417388
444,3B92,3EWJ,0.7656173176262278,0.4670411830520586
445,3B92,3G42,0.4089707569007835,0.3053176851885402
446,3B92,2OI0,1.481983649382488,1.23825794970192
447,3B92,2A8H,0.5366313760545812,0.38996769096939193
448,3B92,3LGP,1.1241661571459003,0.9236743203099239
449,1BKC,2FV5,1.2251775084748848,0.9887166766403136
450,1BKC,3LEA,0.9511067184596005,0.3655258768769565
451,1BKC,1ZXC,0.47270125144564584,0.34621597305728147
452,1BKC,2OI0,1.486007678124324,1.3198230184384572
453,1BKC,3LE9,0.28281395246224533,0.2205017006737141
454,1BKC,2A8H,0.5683025659379103,0.476172237745966
455,1BKC,3LGP,1.5088009407626157,1.3033080396260301
456,2Y02,4BVN,0.6914547361714382,0.5154039898247518
457,2Y02,2YCZ,1.014841325473027,0.518245598148214
458,2Y02,2Y03,0.24543315973485694,0.1466724241294181
459,2Y02,3ZPR,0.5796621450301478,0.3580854956881418
460,2Y02,4AMJ,0.7379971667844111,0.3753321195954326
461,2Y02,2YCW,0.7999043101555369,0.39039623745910085
462,2Y02,3ZPQ,0.7682728177210095,0.2908129410233782
463,4AMI,4BVN,0.6239077584780534,0.39556657678154045
464,4AMI,2YCZ,0.9560831791505097,0.35276989667487213
465,4AMI,2Y03,0.44984886350862324,0.2511015730735272
466,4AMI,3ZPR,0.4572978225483506,0.2701020970987504
467,4AMI,4AMJ,0.7233785763387538,0.33665679853524394
468,4AMI,5A8E,0.7531454450526197,0.44695981578110205
469,4AMI,3ZPQ,0.7424580564026776,0.2048121090170207
